society,price,sector,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,property_id,property_type,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
dlf the primus,1.87,sector 82a,10395.0,3,3,3,31.0,Moderately Old,O68656188,flat,1668.0,0,0,0,1,0,0,38,"28.3858° N, 76.9686° E",28.3858,76.9686
m3m soulitude,1.0,sector 89,9066.0,2,2,2,2.0,New Property,P69680328,flat,1226.0,1,0,0,0,0,0,49,"28.4253° N, 76.9439° E",28.4253,76.9439
emaar mgf palm hills,1.65,sector 77,8462.0,4,3,3,9.0,Relatively New,S70076870,flat,1765.0,0,1,0,0,0,0,100,"28.3801° N, 76.9845° E",28.3801,76.9845
huda ashok vihar phase,0.7,sector 4,10234.0,3,2,1,2.0,New Property,R70134894,house,684.0,1,0,0,0,0,0,7,"28.4738° N, 77.0107° E",28.4738,77.0107
ramprastha the edge towers,0.8,sector 37d,8889.0,2,2,3,10.0,Relatively New,J62977642,flat,1310.0,0,0,0,0,1,0,166,"28.4478° N, 76.9703° E",28.4478,76.9703
dlf city plot phase 4,13.0,sector 28,17931.0,10,10,3+,1.0,Relatively New,L68155082,house,8056.0,0,0,0,0,0,0,0,"28.4728° N, 77.0865° E",28.4728,77.0865
vatika gurgaon,1.33,sector 83,5565.0,4,4,3,3.0,Relatively New,M69186654,flat,2193.0,0,1,0,0,0,0,26,"28.3986° N, 76.9647° E",28.3986,76.9647
independent,0.62,sector 8,11273.0,3,1,0,2.0,Moderately Old,T69442260,house,550.0,0,0,0,0,0,0,0,"28.3738° N, 76.8970° E",28.3738,76.897
sushant lok 1 builder floors,13.0,sector 43,48148.0,3,3,3+,4.0,New Property,Y69766240,house,2700.0,0,0,0,1,0,1,7,"28.4629° N, 77.0772° E",28.4629,77.0772
shapoorji pallonji joyville,1.1,sector 102,12022.0,2,2,1,7.0,Relatively New,K69058384,flat,915.0,0,0,0,0,0,0,0,"28.4750° N, 76.9715° E",28.475,76.9715
independent,2.25,sector 103,6367.0,3,5,3+,10.0,Relatively New,R68478332,house,3534.0,0,0,0,0,0,0,0,"28.4949° N, 76.9845° E",28.4949,76.9845
ansals palam vihar,2.75,sector 2,17662.0,3,3,3,2.0,Moderately Old,E69690248,house,1557.0,1,0,0,1,0,1,15,"28.5095° N, 77.0320° E",28.5095,77.032
emaar palm gardens,1.76,sector 83,9263.0,3,3,3,6.0,Relatively New,H69976064,flat,1500.0,0,1,0,0,0,1,165,"28.3986° N, 76.9647° E",28.3986,76.9647
ss the leaf,1.07,sector 85,6524.0,2,2,3,21.0,Relatively New,U69233522,flat,1484.0,0,0,0,1,0,0,67,"28.4042° N, 76.9513° E",28.4042,76.9513
signature global city 37d ph 2,1.1,sector 37d,8148.0,3,3,1,2.0,Under Construction,S69121822,flat,1500.0,0,0,0,1,0,0,30,"28.4478° N, 76.9703° E",28.4478,76.9703
housing board colony,2.1,sector 28,23333.0,2,8,3+,4.0,Moderately Old,D68648118,house,900.0,0,0,0,0,1,1,38,"28.4728° N, 77.0865° E",28.4728,77.0865
